codigo_reserva,nif_cliente,balcao,hora
1,827669728,OPO,2024-12-05 14:00:00
2,539705006,OPO,2024-10-27 14:00:00
3,937844678,OPO,2024-10-05 14:00:00
4,242071170,OPO,2024-10-10 14:00:00
5,959922040,OPO,2024-12-30 14:00:00
6,753204271,OPO,2024-11-22 14:00:00
7,861678303,OPO,2024-10-10 14:00:00
8,504237434,OPO,2024-11-17 14:00:00
9,334300190,OPO,2024-11-02 14:00:00
10,659030686,OPO,2024-10-13 14:00:00
11,209856785,OPO,2024-12-31 14:00:00
12,811198748,OPO,2024-11-14 14:00:00
13,737558411,OPO,2024-10-15 14:00:00
14,834883010,OPO,2024-12-18 14:00:00
15,461081823,OPO,2024-11-26 14:00:00
16,397302928,OPO,2024-11-28 14:00:00
17,799506796,OPO,2024-11-23 14:00:00
18,655439758,OPO,2024-12-01 14:00:00
19,964823687,OPO,2024-10-16 14:00:00
20,443152572,OPO,2024-10-05 14:00:00
21,127332385,OPO,2024-10-09 14:00:00
22,417403063,OPO,2024-11-28 14:00:00
23,534434754,OPO,2024-11-12 14:00:00
24,726016935,OPO,2024-10-19 14:00:00
25,468472812,OPO,2024-12-03 14:00:00
26,785383997,OPO,2024-11-01 14:00:00
27,821413281,OPO,2024-11-16 14:00:00
28,282521788,OPO,2024-10-08 14:00:00
29,294493146,OPO,2024-11-24 14:00:00
30,237378973,OPO,2024-11-28 14:00:00
31,417130941,OPO,2024-12-11 14:00:00
32,632956813,OPO,2024-12-05 14:00:00
33,616108982,OPO,2024-11-19 14:00:00
34,113689561,OPO,2024-10-07 14:00:00
35,218574293,OPO,2024-10-19 14:00:00
36,260142678,OPO,2024-12-20 14:00:00
37,180582403,OPO,2024-12-19 14:00:00
38,791851361,OPO,2024-12-02 14:00:00
39,417851397,OPO,2024-11-28 14:00:00
40,207169001,OPO,2024-12-09 14:00:00
41,411994135,OPO,2024-11-15 14:00:00
42,435766697,OPO,2024-11-07 14:00:00
43,202003827,OPO,2024-12-26 14:00:00
44,248599901,OPO,2024-10-08 14:00:00
45,452896879,OPO,2024-11-16 14:00:00
46,767660223,OPO,2024-11-27 14:00:00
47,199805719,OPO,2024-11-14 14:00:00
48,296354549,OPO,2024-12-17 14:00:00
49,590204687,OPO,2024-11-27 14:00:00
50,840777094,OPO,2024-10-31 14:00:00
51,796693603,OPO,2024-12-10 14:00:00
52,847506709,OPO,2024-12-24 14:00:00
53,271149511,OPO,2024-12-18 14:00:00
54,734313309,OPO,2024-10-31 14:00:00
55,828419083,OPO,2024-11-05 14:00:00
56,507754288,OPO,2024-11-16 14:00:00
57,834937767,OPO,2024-12-15 14:00:00
58,624117847,OPO,2024-12-17 14:00:00
59,573185010,OPO,2024-12-26 14:00:00
60,803272515,OPO,2024-11-21 14:00:00
61,547284589,OPO,2024-10-05 12:00:00
62,692839277,OPO,2024-12-25 12:00:00
63,369875484,OPO,2024-12-06 12:00:00
64,938511718,OPO,2024-11-05 12:00:00
65,780525215,OPO,2024-10-10 12:00:00
66,731773948,OPO,2024-10-23 12:00:00
67,310957071,OPO,2024-12-07 12:00:00
68,290509600,OPO,2024-10-05 12:00:00
69,286611097,OPO,2024-10-27 12:00:00
70,143630672,OPO,2024-11-07 12:00:00
71,383725108,OPO,2024-12-15 12:00:00
72,373821508,OPO,2024-12-31 12:00:00
73,862023079,OPO,2024-12-12 12:00:00
74,446421355,OPO,2024-10-16 12:00:00
75,771482340,OPO,2024-10-14 12:00:00
76,423362525,OPO,2024-10-30 12:00:00
77,690729993,OPO,2024-11-16 12:00:00
78,859867290,OPO,2024-11-21 12:00:00
79,297427943,OPO,2024-10-26 12:00:00
80,642390322,OPO,2024-12-11 12:00:00
81,676637967,OPO,2024-11-10 12:00:00
82,337509631,OPO,2024-12-04 12:00:00
83,455479984,OPO,2024-11-15 12:00:00
84,908157894,OPO,2024-10-13 12:00:00
85,702728525,OPO,2024-10-09 12:00:00
86,818267208,OPO,2024-11-17 12:00:00
87,789626099,OPO,2024-10-14 12:00:00
88,361807423,OPO,2024-12-26 12:00:00
89,444603491,OPO,2024-11-13 12:00:00
90,221734439,OPO,2024-11-12 12:00:00
91,364328543,FCO,2024-12-03 15:00:00
92,788095145,FCO,2024-11-06 15:00:00
93,485995156,FCO,2024-12-14 15:00:00
94,456013006,FCO,2024-10-31 15:00:00
95,485195859,FCO,2024-11-22 15:00:00
96,216858154,FCO,2024-12-09 15:00:00
97,188018583,FCO,2024-11-26 15:00:00
98,250325647,FCO,2024-10-24 15:00:00
99,887637532,FCO,2024-10-12 15:00:00
100,180960086,FCO,2024-12-29 15:00:00
101,778203785,FCO,2024-12-28 15:00:00
102,721589989,FCO,2024-11-10 15:00:00
103,328450041,FCO,2024-12-27 15:00:00
104,683545743,FCO,2024-10-23 15:00:00
105,932361696,FCO,2024-12-12 15:00:00
106,339773681,FCO,2024-10-17 15:00:00
107,412457968,FCO,2024-12-14 15:00:00
108,648050705,FCO,2024-12-20 15:00:00
109,639198004,FCO,2024-12-30 15:00:00
110,966015789,FCO,2024-10-14 15:00:00
111,913043828,FCO,2024-10-27 15:00:00
112,270963770,FCO,2024-12-09 15:00:00
113,707536579,FCO,2024-10-08 15:00:00
114,256980036,FCO,2024-10-31 15:00:00
115,143400463,FCO,2024-12-03 15:00:00
116,348839570,FCO,2024-12-23 15:00:00
117,351275639,FCO,2024-12-26 15:00:00
118,656075031,FCO,2024-11-15 15:00:00
119,588169687,FCO,2024-12-26 15:00:00
120,796348146,FCO,2024-11-20 15:00:00
121,706310053,LIS,2024-11-15 18:00:00
122,830794809,LIS,2024-11-11 18:00:00
